Emirate Name En|Emirate Name Ar|Issuance Authority En|Issuance Authority Ar|Issuance Authority Branch En|Issuance Authority Branch Ar|BL #|BL CBLS #|BL Name Ar|BL Name En|BL Est Date|BL Exp Date|BL Status EN|BL Status AR|BL Legal Type En|BL Legal Type Ar|BL Type En|BL Type Ar|BL Full Address|License Latitude|License Longitude|License Branch Flag|Parent Licence - License Number|Parent License Issuance Authority En|Parent License Issuance Authority Ar|Relationship Type En|Relationship Type Ar|Owner Nationality En|Owner Nationality Ar|Owner Gender|Business Activity Code|Business Activity Desc En|Business Activity Desc Ar|license_pk
Abu Dhabi|أبو ظبي|Abu Dhabi Department of Economic Development|دائرة التنمية الاقتصادية في أبوظبي|Main|رئيسي|BL-179184|CBLS-93050|Inc LLC ﺐﻴﺠﻧ ﺔﻛﺮﺷ|Chavez and Sons LLC|26/05/2022|07/07/2023|Active|نشط|LLC|ذ.م.م|Commercial|تجاري|54310 Caldwell Estates Hodgeshire, AK 60117|24.3209°N|54.5999°E|N||||Manager|مدير|Filipino|فلبيني|Male|829900|Business Support Service Activities|أنشطة خدمات دعم الأعمال|d4724733dab48800bc078df0ddcd33e8
Abu Dhabi|أبو ظبي|KEZAD|مجموعة كيزاد|Main|رئيسي|BL-102593|CBLS-22208|Management ﺮﻔﻌﺟ-ﻱﺮﻴﺜﻜﻟﺍ ﺔﻛﺮﺷ|Ingram-Sawyer Management|26/09/2021|23/10/2022|Active|نشط|LLC|ذ.م.م|Professional|مهني|165 Kenneth Terrace Helenside, OK 27652|24.3905°N|54.5789°E|Y|||مجموعة كيزاد|Owner|مالك|Other|آخر|Male|561000|Restaurants and mobile food service activities|المطاعم وأنشطة خدمات الطعام المتنقلة|1dcb46352baafe07ff8bbf5029a3e2e2
Dubai|دبي|Dubai South|دبي الجنوب|Main|رئيسي|BL-618746|CBLS-45197|Ltd Consultancy ﺶﻳﺮﻗ ﺔﻛﺮﺷ|Miller, Gilmore and Fitzgerald Consultancy|09/02/2019|27/12/2019|Active|نشط|LLC|ذ.م.م|Professional|مهني|7905 Thompson Points Apt. 832 Johnville, SD 63218|25.2485°N|55.1351°E|N||||Partner|شريك|Indian|هندي|Male|620100|Computer programming activities|أنشطة برمجة الكمبيوتر|ccaf2e138db434130969b0cba14660ad
Dubai|دبي|DMCC|مركز دبي للسلع المتعددة|Main|رئيسي|BL-899281|CBLS-16345|LLC Management ﻱﺮﻋﻮﻟﺍ ﺔﻛﺮﺷ|Crosby, Carpenter and Haley Management|30/12/2018|22/10/2019|Active|نشط|Sole Establishment|مؤسسة فردية|Professional|مهني|0155 Tucker Pine Apt. 788 Shannonstad, AS 88752|25.0299°N|55.3136°E|N||||Owner|مالك|Indian|هندي|Female|829900|Business Support Service Activities|أنشطة خدمات دعم الأعمال|543612e6b4c2567ef8069deb12a5b226
Abu Dhabi|أبو ظبي|Abu Dhabi Department of Economic Development|دائرة التنمية الاقتصادية في أبوظبي|Main|رئيسي|BL-548580|CBLS-36518|Trading ﺵﺍﻮﺤﻟﺍ-ﺝﺭﺰﺨﻟﺍ ﺔﻛﺮﺷ|Lamb, Everett and Jones Trading|17/05/2019|27/05/2020|Active|نشط|LLC|ذ.م.م|Commercial|تجاري|24127 Nancy Pike West Robertside, DC 62616|24.4646°N|54.4207°E|Y||||Partner|شريك|Egyptian|مصري|Male|477100|Retail sale of clothing, footwear and textiles|تجارة التجزئة في الملابس والأحذية والمنسوجات|8dd4e14e33989c72a53b7d50c138a0b9
Dubai|دبي|DMCC|مركز دبي للسلع المتعددة|Main|رئيسي|BL-489906|CBLS-97098|and Sons Trading ﺮﻬﺷ ﻮﻨﺑ ﺔﻛﺮﺷ|Fisher-Rojas Trading|05/02/2016|07/01/2017|Active|نشط|LLC|ذ.م.م|Commercial|تجاري|569 Rios Turnpike Toddhaven, MP 72389|25.0155°N|55.2502°E|N||||Owner|مالك|Emirati|إماراتي|Male|477100|Retail sale of clothing, footwear and textiles|تجارة التجزئة في الملابس والأحذية والمنسوجات|e9d907c5ce84b58ee2ae90eae9583448
Sharjah|الشارقة|Sharjah Economic Development Department|دائرة التنمية الاقتصادية في الشارقة|Main|رئيسي|BL-101139|CBLS-37973|Trading ﺪﺳﺃ ﻮﻨﺑ-ﺯﺍﺰﻘﻟﺍ ﺔﻛﺮﺷ|Ellis-Bradley Trading|26/09/2017|19/09/2018|Active|نشط|LLC|ذ.م.م|Commercial|تجاري|25472 Jennifer Heights Apt. 222 North Blake, MD 75805|25.3078°N|55.5187°E|N||||Owner|مالك|Pakistani|باكستاني|Male|561000|Restaurants and mobile food service activities|المطاعم وأنشطة خدمات الطعام المتنقلة|eeceb0854c1182cb44e1b05c66082318
Dubai|دبي|Dubai South|دبي الجنوب|Main|رئيسي|BL-542828|CBLS-27324|PLC Consultancy ﻖﻔﺘﻨﻤﻟﺍ ﺔﻛﺮﺷ|Alexander LLC Consultancy|16/07/2022|16/06/2023|Active|نشط|LLC|ذ.م.م|Professional|مهني|57828 Martinez Burg Suite 727 Ericside, NY 43922|25.0212°N|55.1532°E|N||||Owner|مالك|Other|آخر|Female|561000|Restaurants and mobile food service activities|المطاعم وأنشطة خدمات الطعام المتنقلة|2a631899f64e710fa5d8d341ee68b8b6
Fujairah|الفجيرة|Department of Economic Development|دائرة التنمية الاقتصادية|Main|رئيسي|BL-501312|CBLS-27451|Trading ﻱﻭﺍﺪﻴﺻ and ﻞﻳﺬﻫ ,ﻥﺎﻤﺠﻌﻟﺍ ﺔﻛﺮﺷ|Thornton, Wells and Roberts Trading|08/11/2018|28/11/2019|Active|نشط|LLC|ذ.م.م|Commercial|تجاري|28140 Williamson Forges Suite 515 New Danielleshire, NC 29617|25.1068°N|56.3563°E|N||||Partner|شريك|Emirati|إماراتي|Male|477100|Retail sale of clothing, footwear and textiles|تجارة التجزئة في الملابس والأحذية والمنسوجات|168139a8c62924d8c28e7f3ad4540144
Dubai|دبي|Department of Economic Development|دائرة التنمية الاقتصادية|Main|رئيسي|BL-258727|CBLS-63963|FZE ﺵﺮﻗ-ﺝﺭﺰﺨﻟﺍ ﺔﻛﺮﺷ|Gonzalez-Miller FZE|31/05/2019|16/06/2020|Active|نشط|LLC|ذ.م.م|Commercial|تجاري|562 Wood Landing West Michaelport, NV 74036|25.2060°N|55.3440°E|N||||Partner|شريك|Egyptian|مصري|Female|702000|Management consultancy activities|أنشطة استشارات الإدارة|760706ea6466efa67d29aaa437b38aeb
Dubai|دبي|DMCC|مركز دبي للسلع المتعددة|Main|رئيسي|BL-468611|CBLS-66280|Services ﺮﻜﺑ ﻦﺑ ﺚﻴﻟ ﻦﺑ ﺪﻌﺳ ﻮﻨﺑ and ﻱﻭﺍﺪﻴﺻ ,ﻥﺍﺮﻫﺯ ﺔﻛﺮﺷ|Lewis Group Services|07/02/2017|31/01/2018|Active|نشط|LLC|ذ.م.م|Professional|مهني|629 Douglas Hollow Suite 851 Davischester, SC 36326|25.2373°N|55.0991°E|N||||Owner|مالك|Emirati|إماراتي|Male|620100|Computer programming activities|أنشطة برمجة الكمبيوتر|558abed61a5471de3d83562e57b67561
Dubai|دبي|Dubai Silicon Oasis Authority|سلطة واحة دبي للسيليكون|Main|رئيسي|BL-916808|CBLS-13515|LLC ﻲﺻﺎﻐﻠﻜﻟﺍ and ﻲﺑﺮﻐﻤﻟﺍ ,ﻲﻧﺎﺒﻌﺸﻟﺍ ﺔﻛﺮﺷ|Thompson-Murray LLC|16/10/2023|28/11/2024|Active|نشط|Free Zone Establishment|مؤسسة منطقة حرة|Commercial|تجاري|49478 Walker Turnpike Apt. 244 Martinezport, MT 24011|25.0616°N|55.2428°E|N||||Manager|مدير|Other|آخر|Female|620100|Computer programming activities|أنشطة برمجة الكمبيوتر|f295ed5875286815284816487119e01f
Dubai|دبي|Dubai South|دبي الجنوب|Main|رئيسي|BL-618927|CBLS-60578|LLC Trading ﻱﺭﻭﺮﺴﻟﺍ ﺔﻛﺮﺷ|Knox-Newman Trading|25/05/2020|17/04/2021|Active|نشط|LLC|ذ.م.م|Commercial|تجاري|Unit 9597 Box 9647 DPO AP 16175|25.0723°N|55.2552°E|N||||Owner|مالك|Egyptian|مصري|Female|829900|Business Support Service Activities|أنشطة خدمات دعم الأعمال|38d0068cb52f6c60942486aad80054ce
Dubai|دبي|DMCC|مركز دبي للسلع المتعددة|Main|رئيسي|BL-238394|CBLS-60703|Services ﺢﻟﺎﺼﻟﺍ ﻥﺎﻤﺟﺮﺘﻟﺍ-ﻲﻧﺎﻴﺘﻔﻟﺍ ﺔﻛﺮﺷ|Hunt-Johnston Services|05/12/2016|16/11/2017|Active|نشط|Sole Establishment|مؤسسة فردية|Professional|مهني|2045 Fields Knolls West Kellyland, NY 25904|25.1263°N|55.2185°E|N||Department of Economic Development||Manager|مدير|Emirati|إماراتي|Male|702000|Management consultancy activities|أنشطة استشارات الإدارة|75b3beb10a8e45d5f1c04dd6d5eebeb9
Dubai|دبي|DMCC|مركز دبي للسلع المتعددة|Main|رئيسي|BL-170813|CBLS-11807|Management ﺲﺒﻋ ﻮﻨﺑ and ﻡﻻ ﻮﻨﺑ ,ﻱﺪﻬﻣ ﻮﻨﺑ ﺔﻛﺮﺷ|White, Davis and Goodwin Management|08/03/2018|03/02/2019|Cancelled|ملغاة|LLC|ذ.م.م|Professional|مهني|89520 April Landing Suite 652 East Ericbury, MP 25197|25.0647°N|55.3690°E|Y||||Partner|شريك|Emirati|إماراتي|Male|620100|Computer programming activities|أنشطة برمجة الكمبيوتر|9d11e1958ddcdb6ebcaa4a5578544807
Dubai|دبي|Department of Economic Development|دائرة التنمية الاقتصادية|Main|رئيسي|BL-544150|CBLS-62727|Services ﻊﻴﺒﺳ and ﻲﻠﺣﺎﺴﻟﺍ ,ﻕﻮﺘﻌﻣ ﺔﻛﺮﺷ|Austin, Guerra and Fox Services|27/01/2020|21/01/2021|Active|نشط|LLC|ذ.م.م|Professional|مهني|75452 Preston Ranch Geraldport, AK 98078|25.1922°N|55.2151°E|N|||دائرة التنمية الاقتصادية|Owner|مالك|Indian|هندي|Male|829900|Business Support Service Activities|أنشطة خدمات دعم الأعمال|10fbef94f51968bc5c9305f9c5af37cb
Dubai|دبي|Department of Economic Development|دائرة التنمية الاقتصادية|Main|رئيسي|BL-662445|CBLS-52827|LLC Trading ﻲﺷﺎﺑﺯﻮﻴﻟﺍ ﺔﻛﺮﺷ|Walker Ltd Trading|20/09/2016|03/10/2017|Active|نشط|Free Zone Establishment|مؤسسة منطقة حرة|Commercial|تجاري|1107 Williams Coves Port Donnashire, AR 61984|25.1759°N|55.3053°E|N||||Manager|مدير|Emirati|إماراتي|Female|561000|Restaurants and mobile food service activities|المطاعم وأنشطة خدمات الطعام المتنقلة|dc38edaf28a9645c2b21e737fa2e0c31
Abu Dhabi|أبو ظبي|KEZAD|مجموعة كيزاد|Main|رئيسي|BL-160718|CBLS-42044|Ltd Consultancy ﺲﺒﻋ ﻮﻨﺑ ﺔﻛﺮﺷ|Kerr Inc Consultancy|28/07/2015|07/08/2016|Active|نشط|LLC|ذ.م.م|Professional|مهني|393 Ellen Burgs East Meghanview, OR 46092|24.4774°N|54.3464°E|N||||Partner|شريك|Pakistani|باكستاني|Male|829900|Business Support Service Activities|أنشطة خدمات دعم الأعمال|be989b075b292d6cc12496f7d43c009b
Fujairah|الفجيرة|Department of Economic Development|دائرة التنمية الاقتصادية|Main|رئيسي|BL-225245|CBLS-11660|Consultancy ﺔﻳﺪﻨﻫ and ﺪﻴﻫﺍﺮﻓ ,ﻲﻧﻭﺪﻤﺤﺑ ﺔﻛﺮﺷ|Martin-Mason Consultancy|25/02/2016|24/02/2017|Cancelled|ملغاة|Sole Establishment|مؤسسة فردية|Professional|مهني|334 Rachel Plain Lake Coreyborough, PW 66586|25.1701°N|56.3164°E|Y||||Partner|شريك|Emirati|إماراتي|Male|477100|Retail sale of clothing, footwear and textiles|تجارة التجزئة في الملابس والأحذية والمنسوجات|d4cf27b54b0f29e9cf45eafdfb5e26ea
Dubai|دبي|Department of Economic Development|دائرة التنمية الاقتصادية|Main|رئيسي|BL-489933|CBLS-26637|Consultancy ﻒﻴﻘﺛ and ﻲﺗﻮﻟﺎﻜﻟﺍ ,ﺏﺎﺑﺮﻟﺍ ﺔﻛﺮﺷ|Wells, Wolfe and Lopez Consultancy|12/04/2025|29/04/2026|Active|نشط|LLC|ذ.م.م|Professional|مهني|1517 April Park Janetside, VA 05823|25.2199°N|55.0472°E|Y||||Owner|مالك|Other|آخر|Male|620100|Computer programming activities|أنشطة برمجة الكمبيوتر|922097ee25168c1cfb923438e7a823c6
Dubai|دبي|Department of Economic Development|دائرة التنمية الاقتصادية|Main|رئيسي|BL-846925|CBLS-85582|Manufacturing ﺢﻃﻮﻃ-ﺪﻳﺯ ﻮﻨﺑ ﺔﻛﺮﺷ|Murphy Inc Manufacturing|21/06/2021|09/07/2022|Active|نشط|LLC|ذ.م.م|Industrial|صناعي|86463 Patricia Unions Suite 520 Powersfurt, NV 69007|25.1488°N|55.2043°E|N||||Owner|مالك|Other|آخر|Female|829900|Business Support Service Activities|أنشطة خدمات دعم الأعمال|d79953b77471050081d6cf611cc1698f
Dubai|دبي|Department of Economic Development|دائرة التنمية الاقتصادية|Main|رئيسي|BL-701790|CBLS-98358|Trading ﺔﺸﺒﺠﻟﺍ and ﻲﻟﻮﺟﺮﻘﻟﺍ ,ﺮﺳﺍﻭﺪﻟﺍ ﺔﻛﺮﺷ|Rhodes, Wilson and Foster Trading|08/02/2019|31/12/2019|Active|نشط|LLC|ذ.م.م|Commercial|تجاري|613 Hardy Harbors Katelynfurt, MI 62868|25.0685°N|55.2035°E|N||||Manager|مدير|Emirati|إماراتي|Male|829900|Business Support Service Activities|أنشطة خدمات دعم الأعمال|83eabea2cb4b1e7d28a494913d06f6fe
Umm Al Quwain|أم القيوين|Department of Economic Development|دائرة التنمية الاقتصادية|Main|رئيسي|BL-257375|CBLS-33456|Services ﻪﻃ-ﻥﺎﻤﺠﻌﻟﺍ ﺔﻛﺮﺷ|Morrison, Sullivan and Washington Services|19/07/2016|08/06/2017|Active|نشط|Free Zone Establishment|مؤسسة منطقة حرة|Professional|مهني|20101 Gregory Fall Suite 952 Christyville, WV 10530|25.5553°N|55.6828°E|N||||Owner|مالك|Other|آخر|Male|829900|Business Support Service Activities|أنشطة خدمات دعم الأعمال|76c34851ee7139a21b18c0eda0a3916a
Abu Dhabi|أبو ظبي|Abu Dhabi Department of Economic Development|دائرة التنمية الاقتصادية في أبوظبي|Main|رئيسي|BL-435476|CBLS-45554|Ltd Management ﻥﺎﺒﻴﺷ ﻮﻨﺑ ﺔﻛﺮﺷ|Walton, Saunders and Sparks Management|12/06/2020|24/04/2021|Active|نشط|Sole Establishment|مؤسسة فردية|Professional|مهني|800 Beard Crest Suite 756 Stevenston, HI 73464|24.3715°N|54.3478°E|N||||Manager|مدير|Emirati|إماراتي|Male|829900|Business Support Service Activities|أنشطة خدمات دعم الأعمال|340f9194cabba49d884049c02fbde053
Dubai|دبي|Department of Economic Development|دائرة التنمية الاقتصادية|Main|رئيسي|BL-520400|CBLS-19034|Trading ﺡﻮﺤﺸﻟﺍ-ﺮﻤﺷ ﺔﻛﺮﺷ|Dalton, Turner and Mccarthy Trading|04/08/2018|10/08/2019|Active|نشط|Free Zone Establishment|مؤسسة منطقة حرة|Commercial|تجاري|788 Alvarez Walk New Brian, KS 65341|25.2598°N|55.3094°E|N||||Owner|مالك|Pakistani|باكستاني|Male|561000|Restaurants and mobile food service activities|المطاعم وأنشطة خدمات الطعام المتنقلة|67f5c4a0bef4b6f6543d9207895c0bd7
Dubai|دبي|Dubai Silicon Oasis Authority|سلطة واحة دبي للسيليكون|Main|رئيسي|BL-691194|CBLS-49834|LLC ﻲﺠﻨﺗﻮﺘﻟﺍ-ﻞﻘﻌﻣ ﻮﻨﺑ ﺔﻛﺮﺷ|Arellano, Jensen and Gomez LLC|01/10/2015|24/09/2016|Active|نشط|Civil Company|شركة مدنية|Commercial|تجاري|9056 Ronnie Knolls Suite 503 East Deborah, OR 11634|25.0728°N|55.1473°E|Y|BL-913575||سلطة واحة دبي للسيليكون|Owner|مالك|Other|آخر|Female|702000|Management consultancy activities|أنشطة استشارات الإدارة|2a7e48fa995978e6037f4353dde59d23
Abu Dhabi|أبو ظبي|Abu Dhabi Department of Economic Development|دائرة التنمية الاقتصادية في أبوظبي|Main|رئيسي|BL-257880|CBLS-10835|LLC Trading ﺩﺍﺮﻣ ﺔﻛﺮﺷ|Jones, Torres and Morgan Trading|04/11/2015|15/11/2016|Active|نشط|LLC|ذ.م.م|Commercial|تجاري|864 Heather Radial Apt. 569 Morrisville, AS 64511|24.2072°N|54.5166°E|N||||Owner|مالك|Other|آخر|Male|561000|Restaurants and mobile food service activities|المطاعم وأنشطة خدمات الطعام المتنقلة|89dea18c0582ee819a2cb1f3deab4f2c
Dubai|دبي|Dubai South|دبي الجنوب|Main|رئيسي|BL-494552|CBLS-50306|Management ﺔﺷﻮﻏ-ﺪﻣﺎﻏ ﺔﻛﺮﺷ|Vazquez and Sons Management|01/08/2023|21/06/2024|Active|نشط|Civil Company|شركة مدنية|Professional|مهني|456 Tyler Vista Port Melissaborough, LA 35255|25.0616°N|55.3932°E|N|BL-249289|||Partner|شريك|Other|آخر|Male|829900|Business Support Service Activities|أنشطة خدمات دعم الأعمال|f9e9674d8369c18643b42101ae05eb9d
Abu Dhabi|أبو ظبي|Abu Dhabi Department of Economic Development|دائرة التنمية الاقتصادية في أبوظبي|Main|رئيسي|BL-986575|CBLS-78125|Trading ﻱﺩﻭﺍﺪﻟﺍ-ﻱﺮﻋﻮﻟﺍ ﺔﻛﺮﺷ|Evans PLC Trading|24/08/2022|27/08/2023|Active|نشط|LLC|ذ.م.م|Commercial|تجاري|1987 Clark Underpass Apt. 484 Alvaradomouth, ID 54805|24.4103°N|54.4490°E|Y||||Partner|شريك|Emirati|إماراتي|Male|561000|Restaurants and mobile food service activities|المطاعم وأنشطة خدمات الطعام المتنقلة|73350c752cd874cd8e5df6df4a454626
Dubai|دبي|Department of Economic Development|دائرة التنمية الاقتصادية|Main|رئيسي|BL-178465|CBLS-87580|Services ﺩﻮﻌﺴﻟﺍ ﻮﺑﺍ and ﻲﺗﻮﻟﺎﻜﻟﺍ ,ﺮﻀﻣ ﺔﻛﺮﺷ|King-Robertson Services|29/09/2021|30/10/2022|Active|نشط|Free Zone Establishment|مؤسسة منطقة حرة|Professional|مهني|737 Giles Place Michaelton, NC 26800|25.0187°N|55.2650°E|N|||دائرة التنمية الاقتصادية|Owner|مالك|Emirati|إماراتي|Male|702000|Management consultancy activities|أنشطة استشارات الإدارة|c625d2f3dbbf3e826a57323315a85065
Dubai|دبي|Department of Economic Development|دائرة التنمية الاقتصادية|Main|رئيسي|BL-834764|CBLS-52762|Services ﺔﻜﻴﺣﺯ and ﻥﺍﺮﻬﺷ ,ﺓﺮﻤﺿ ﻮﻨﺑ ﺔﻛﺮﺷ|Ford-Allen Services|27/08/2018|02/10/2019|Expired|منتهي الصلاحية|LLC|ذ.م.م|Professional|مهني|364 Lucas Glens South John, FL 25655|25.1358°N|55.0934°E|Y||||Partner|شريك|Indian|هندي|Male|620100|Computer programming activities|أنشطة برمجة الكمبيوتر|5a6564d47e72c868f05b5d9f181adacc
Sharjah|الشارقة|Sharjah Economic Development Department|دائرة التنمية الاقتصادية في الشارقة|Main|رئيسي|BL-272359|CBLS-68925|Trading ﺔﺒﻴﺴﻧ-ﻱﻭﺎﻜﻋ ﺔﻛﺮﺷ|Sanchez LLC Trading|19/05/2025|12/06/2026|Expired|منتهي الصلاحية|Civil Company|شركة مدنية|Commercial|تجاري|24204 Hopkins Fall Lake Toddtown, AR 11501|25.3314°N|55.4241°E|N||||Owner|مالك|Other|آخر|Female|561000|Restaurants and mobile food service activities|المطاعم وأنشطة خدمات الطعام المتنقلة|b8c6e1b7fa6b3e570d95dd46d2fdfd89
Dubai|دبي|Department of Economic Development|دائرة التنمية الاقتصادية|Main|رئيسي|BL-194813|CBLS-30658|Trading ﻱﻭﺎﻔﻠﺨﻟﺍ-ﻢﻫﺮﺟ ﺔﻛﺮﺷ|Guzman-Camacho Trading|09/06/2019|01/08/2020|Active|نشط|Sole Establishment|مؤسسة فردية|Commercial|تجاري|19818 Crawford Course New David, AS 41580|25.2479°N|55.2788°E|N||||Owner|مالك|Pakistani|باكستاني|Female|620100|Computer programming activities|أنشطة برمجة الكمبيوتر|6592949d663cd7f0720be89da91e2b60
Dubai|دبي|Department of Economic Development|دائرة التنمية الاقتصادية|Main|رئيسي|BL-473023|CBLS-61936|Trading ﺐﻴﻘﻨﻟﺍ and ﻡﻮﻤﺳ ,ﺔﻠﻫﺎﺑ ﺔﻛﺮﺷ|Collier-Mclaughlin Trading|28/11/2016|09/12/2017|Active|نشط|Sole Establishment|مؤسسة فردية|Commercial|تجاري|6490 Ferguson Squares Apt. 586 Vegaview, FM 19494|25.0147°N|55.1195°E|Y||Department of Economic Development||Owner|مالك|Emirati|إماراتي|Male|702000|Management consultancy activities|أنشطة استشارات الإدارة|381a23c66df575e90c5da72fd4401caa
Ajman|عجمان|Municipality|بلدية|Main|رئيسي|BL-884417|CBLS-82105|Management ﻱﺭﺎﺼﻧﻷﺍ-ﺪﻴﻋ ﻮﺑﺍ ﺔﻛﺮﺷ|Alvarez-Richardson Management|19/11/2023|08/11/2024|Expired|منتهي الصلاحية|Sole Establishment|مؤسسة فردية|Professional|مهني|348 Parker Squares Rebeccaville, ND 31484|25.3595°N|55.4153°E|N||||Owner|مالك|Filipino|فلبيني|Female|477100|Retail sale of clothing, footwear and textiles|تجارة التجزئة في الملابس والأحذية والمنسوجات|9268b8d1c7464de8e04d801a3f5b7f39
Sharjah|الشارقة|Sharjah Economic Development Department|دائرة التنمية الاقتصادية في الشارقة|Main|رئيسي|BL-237064|CBLS-35969|Trading ﺲﺒﻋ ﻮﻨﺑ-ﻱﺯﺎﻐﻠﺑ ﺔﻛﺮﺷ|Price-Browning Trading|15/05/2016|07/07/2017|Active|نشط|Free Zone Establishment|مؤسسة منطقة حرة|Commercial|تجاري|3275 Mccormick Harbor Port Kimberlyfort, NJ 97093|25.3372°N|55.5261°E|N||||Partner|شريك|Other|آخر|Female|561000|Restaurants and mobile food service activities|المطاعم وأنشطة خدمات الطعام المتنقلة|f79cba4d2f9814ca3b469086f45ad8a3
Dubai|دبي|Dubai South|دبي الجنوب|Main|رئيسي|BL-167603|CBLS-35919|Trading ﺔﻤﻧﺍﻮﻐﻟﺍ-ﻢﻴﻟﺪﻟﺍ ﺔﻛﺮﺷ|House-Cook Trading|14/06/2022|12/05/2023|Active|نشط|Sole Establishment|مؤسسة فردية|Commercial|تجاري|9857 Kathleen Row Apt. 720 Gonzalezport, MD 75973|25.2428°N|55.0368°E|Y|||دبي الجنوب|Partner|شريك|Indian|هندي|Male|561000|Restaurants and mobile food service activities|المطاعم وأنشطة خدمات الطعام المتنقلة|85b36bee50d161736e054e942df248a0
Dubai|دبي|Dubai Silicon Oasis Authority|سلطة واحة دبي للسيليكون|Main|رئيسي|BL-276149|CBLS-85220|Industries ﻚﻟﺎﻣ ﻮﻨﺑ and ﺔﻜﻴﺣﺯ ,ﺶﻳﻭﺎﺸﻟﺍ ﺔﻛﺮﺷ|Rodriguez and Sons Industries|25/12/2019|12/12/2020|Active|نشط|LLC|ذ.م.م|Industrial|صناعي|2954 Christopher Land South Nancy, MP 75263|25.2465°N|55.1580°E|N||||Owner|مالك|Filipino|فلبيني|Female|561000|Restaurants and mobile food service activities|المطاعم وأنشطة خدمات الطعام المتنقلة|6fcfe9bde5b09d02acf73b208afe17a9
Ras Al Khaimah|رأس الخيمة|Department of Economic Development|دائرة التنمية الاقتصادية|Main|رئيسي|BL-388339|CBLS-46681|Consultancy ﺔﻠﻣﺎﻋ and ﻲﻧﺎﻨﻜﻟﺍ ﺔﻋﺎﻤﺟ ﻲﻨﺑ ﺐﻴﻄﺨﻟﺍ ,ﻲﻧﻮﻴﻣﺍ ﺔﻛﺮﺷ|Smith Inc Consultancy|13/06/2017|03/07/2018|Active|نشط|Civil Company|شركة مدنية|Professional|مهني|69694 Christopher Land New David, VT 69423|25.7767°N|55.9069°E|N||||Owner|مالك|Pakistani|باكستاني|Male|561000|Restaurants and mobile food service activities|المطاعم وأنشطة خدمات الطعام المتنقلة|92b5aedc8dde4ccf571e9da524a5629b
Sharjah|الشارقة|Sharjah Economic Development Department|دائرة التنمية الاقتصادية في الشارقة|Main|رئيسي|BL-602300|CBLS-17992|FZE ﻲﻣﺪﻬﻟﺍ and ﻥﻮﻳﻭﺍﺮﻟﺍ ﺓﺩﺎﺴﻟﺍ ,ﺔﻀﻳﻮﻋ ﺔﻛﺮﺷ|Ayala-Hebert FZE|08/08/2022|20/08/2023|Active|نشط|Civil Company|شركة مدنية|Commercial|تجاري|7626 Carol View Suite 362 Sparkstown, LA 34815|25.3280°N|55.4274°E|N||||Owner|مالك|British|بريطاني|Female|829900|Business Support Service Activities|أنشطة خدمات دعم الأعمال|cf8d73eeeb3de136dbed800a6a2fab0a
Abu Dhabi|أبو ظبي|Abu Dhabi Department of Economic Development|دائرة التنمية الاقتصادية في أبوظبي|Main|رئيسي|BL-933456|CBLS-12559|Management ﻱﺪﻟﺎﺨﻟﺍ-ﺀﻲﻃ ﺔﻛﺮﺷ|Williamson and Sons Management|28/07/2015|15/07/2016|Active|نشط|LLC|ذ.م.م|Professional|مهني|636 Fitzgerald Glens Apt. 180 West Sarahfort, PW 46940|24.4346°N|54.4436°E|N||Abu Dhabi Department of Economic Development||Partner|شريك|Indian|هندي|Male|561000|Restaurants and mobile food service activities|المطاعم وأنشطة خدمات الطعام المتنقلة|41dcd853a005cf45740031664650e900
Abu Dhabi|أبو ظبي|Abu Dhabi Department of Economic Development|دائرة التنمية الاقتصادية في أبوظبي|Main|رئيسي|BL-383572|CBLS-33568|LLC ﻞﻴﻜﺑ and ﺐﻠﻛﺃ ,ﻱﺮﻳﺪﺒﻟﺍ ﺔﻛﺮﺷ|Crosby, Coffey and George LLC|06/07/2020|10/07/2021|Active|نشط|LLC|ذ.م.م|Commercial|تجاري|528 Beverly Green Apt. 875 Andersonmouth, VT 70024|24.2957°N|54.3876°E|Y|||دائرة التنمية الاقتصادية في أبوظبي|Owner|مالك|Indian|هندي|Male|829900|Business Support Service Activities|أنشطة خدمات دعم الأعمال|16a95551bd717477e570e5446ab82109
Dubai|دبي|Department of Economic Development|دائرة التنمية الاقتصادية|Main|رئيسي|BL-904092|CBLS-86544|Group Manufacturing ﻲﻣﺎﺸﻟﺍ ﺔﻛﺮﺷ|Thomas-Wilson Manufacturing|08/03/2024|18/04/2025|Active|نشط|LLC|ذ.م.م|Industrial|صناعي|4494 Graham Expressway Suite 728 Brownberg, AR 30629|25.2922°N|55.0401°E|N|||دائرة التنمية الاقتصادية|Owner|مالك|Indian|هندي|Female|477100|Retail sale of clothing, footwear and textiles|تجارة التجزئة في الملابس والأحذية والمنسوجات|2e8e4855f8c2e2284553b0800e980be8
Dubai|دبي|Department of Economic Development|دائرة التنمية الاقتصادية|Main|رئيسي|BL-901164|CBLS-38758|Group Trading ﻩﺪﺒﻋ ﺔﻛﺮﺷ|Johnson LLC Trading|17/08/2016|20/09/2017|Cancelled|ملغاة|LLC|ذ.م.م|Commercial|تجاري|PSC 7075, Box 8777 APO AE 94841|25.2540°N|55.3190°E|N||||Manager|مدير|Pakistani|باكستاني|Male|702000|Management consultancy activities|أنشطة استشارات الإدارة|1c1c125cf31f2ba89c550966e6de1d4c
